SampleID	Group	Fermenter	Temperature	DaysPostTransplant 	Time	Stage
FF011	FF01	FF410	26.0 	0 	2020/10/24	FFS1
FF012	FF01	FF409	26.0 	0 	2020/10/24	FFS1
FF013	FF01	FF406	26.0 	0 	2020/10/24	FFS1
FF014	FF01	FF405	26.0 	0 	2020/10/24	FFS1
FF015	FF01	FF400	26.0 	0 	2020/10/24	FFS1
FF016	FF01	FF399	26.0 	0 	2020/10/24	FFS1
FF021	FF02	FF410	23.9 	7 	2020/10/30	FFS1
FF022	FF02	FF409	23.9 	7 	2020/10/30	FFS1
FF023	FF02	FF406	23.9 	7 	2020/10/30	FFS1
FF024	FF02	FF405	23.9 	7 	2020/10/30	FFS1
FF025	FF02	FF400	23.9 	7 	2020/10/30	FFS1
FF026	FF02	FF399	23.9 	7 	2020/10/30	FFS1
FF031	FF03	FF410	23.4 	14 	2020/11/6	FFS2
FF032	FF03	FF409	23.4 	14 	2020/11/6	FFS2
FF033	FF03	FF406	23.4 	14 	2020/11/6	FFS2
FF034	FF03	FF405	23.4 	14 	2020/11/6	FFS2
FF035	FF03	FF400	23.4 	14 	2020/11/6	FFS2
FF036	FF03	FF399	23.4 	14 	2020/11/6	FFS2
FF041	FF04	FF410	22.9 	21 	2020/11/13	FFS2
FF042	FF04	FF409	22.9 	21 	2020/11/13	FFS2
FF043	FF04	FF406	22.9 	21 	2020/11/13	FFS2
FF044	FF04	FF405	22.9 	21 	2020/11/13	FFS2
FF045	FF04	FF400	22.9 	21 	2020/11/13	FFS2
FF046	FF04	FF399	22.9 	21 	2020/11/13	FFS2
FF051	FF05	FF410	24.6 	28 	2020/11/20	FFS2
FF052	FF05	FF409	24.6 	28 	2020/11/20	FFS2
FF053	FF05	FF406	24.6 	28 	2020/11/20	FFS2
FF054	FF05	FF405	24.6 	28 	2020/11/20	FFS2
FF055	FF05	FF400	24.6 	28 	2020/11/20	FFS2
FF056	FF05	FF399	24.6 	28 	2020/11/20	FFS2
FF061	FF06	FF410	22.0 	35 	2020/11/27	FFS2
FF062	FF06	FF409	22.0 	35 	2020/11/27	FFS2
FF063	FF06	FF406	22.0 	35 	2020/11/27	FFS2
FF064	FF06	FF405	22.0 	35 	2020/11/27	FFS2
FF065	FF06	FF400	22.0 	35 	2020/11/27	FFS2
FF066	FF06	FF399	22.0 	35 	2020/11/27	FFS2
FF071	FF07	FF410	16.4 	42 	2020/12/4	FFS3
FF072	FF07	FF409	16.4 	42 	2020/12/4	FFS3
FF073	FF07	FF406	16.4 	42 	2020/12/4	FFS3
FF074	FF07	FF405	16.4 	42 	2020/12/4	FFS3
FF075	FF07	FF400	16.4 	42 	2020/12/4	FFS3
FF076	FF07	FF399	16.4 	42 	2020/12/4	FFS3
FF081	FF08	FF410	17.6 	49 	2020/12/11	FFS3
FF082	FF08	FF409	17.6 	49 	2020/12/11	FFS3
FF083	FF08	FF406	17.6 	49 	2020/12/11	FFS3
FF084	FF08	FF405	17.6 	49 	2020/12/11	FFS3
FF085	FF08	FF400	17.6 	49 	2020/12/11	FFS3
FF086	FF08	FF399	17.6 	49 	2020/12/11	FFS3
FF091	FF09	FF410	13.7 	56 	2020/12/18	FFS3
FF092	FF09	FF409	13.7 	56 	2020/12/18	FFS3
FF093	FF09	FF406	13.7 	56 	2020/12/18	FFS3
FF094	FF09	FF405	13.7 	56 	2020/12/18	FFS3
FF095	FF09	FF400	13.7 	56 	2020/12/18	FFS3
FF096	FF09	FF399	13.7 	56 	2020/12/18	FFS3
FF101	FF10	FF410	14.9 	63 	2020/12/25	FFS3
FF102	FF10	FF409	14.9 	63 	2020/12/25	FFS3
FF103	FF10	FF406	14.9 	63 	2020/12/25	FFS3
FF104	FF10	FF405	14.9 	63 	2020/12/25	FFS3
FF105	FF10	FF400	14.9 	63 	2020/12/25	FFS3
FF106	FF10	FF399	14.9 	63 	2020/12/25	FFS3
FF111	FF11	FF410	16.0 	70 	2021/1/1	FFS3
FF112	FF11	FF409	16.0 	70 	2021/1/1	FFS3
FF113	FF11	FF406	16.0 	70 	2021/1/1	FFS3
FF114	FF11	FF405	16.0 	70 	2021/1/1	FFS3
FF115	FF11	FF400	16.0 	70 	2021/1/1	FFS3
FF116	FF11	FF399	16.0 	70 	2021/1/1	FFS3
FF121	FF12	FF410	13.5 	77 	2021/1/8	FFS3
FF122	FF12	FF409	13.5 	77 	2021/1/8	FFS3
FF123	FF12	FF406	13.5 	77 	2021/1/8	FFS3
FF124	FF12	FF405	13.5 	77 	2021/1/8	FFS3
FF125	FF12	FF400	13.5 	77 	2021/1/8	FFS3
FF126	FF12	FF399	13.5 	77 	2021/1/8	FFS3
FF131	FF13	FF410	14.7 	84 	2021/1/15	FFS3
FF132	FF13	FF409	14.7 	84 	2021/1/15	FFS3
FF133	FF13	FF406	14.7 	84 	2021/1/15	FFS3
FF134	FF13	FF405	14.7 	84 	2021/1/15	FFS3
FF135	FF13	FF400	14.7 	84 	2021/1/15	FFS3
FF136	FF13	FF399	14.7 	84 	2021/1/15	FFS3
FF141	FF14	FF410	16.7 	91 	2021/1/22	FFS3
FF142	FF14	FF409	16.7 	91 	2021/1/22	FFS3
FF143	FF14	FF406	16.7 	91 	2021/1/22	FFS3
FF144	FF14	FF405	16.7 	91 	2021/1/22	FFS3
FF145	FF14	FF400	16.7 	91 	2021/1/22	FFS3
FF146	FF14	FF399	16.7 	91 	2021/1/22	FFS3
